school_name,school_section,cca_grouping_desc,cca_generic_name,cca_customized_name
ADMIRALTY PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ART AND CRAFTS,VISUAL ARTS
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,DESIGN AND INNOVATION,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,"ENGLISH LANGUAGE, DRAMA AND DEBATING",ENGLISH LANGUAGE & DRAMA
ADMIRALTY PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,FOOTBALL,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,GIRL GUIDES (BROWNIES),na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,GUITAR ENSEMBLE,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,INDIAN DANCE,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (COMPUTING),na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,MALAY DANCE,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,MODULAR CCA (SPORTS),SPORTS CLUB
ADMIRALTY PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,ROPE SKIPPING,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,SCOUTS,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,na
ADMIRALTY PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,WUSHU,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,ART AND CRAFTS,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,BADMINTON,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,CONCERT BAND,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,DIGITAL MEDIA,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,MEDIA RESOURCE LIBRARY,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,MODERN DANCE,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,NATIONAL CIVIL DEFENCE CADET CORPS,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,NETBALL,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,RED CROSS YOUTH,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,ROBOTICS,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,RUGBY,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),OTHERS,STUDENT LEADERSHIP (COUNCIL),na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),OTHERS,STUDENT LEADERSHIP (HOUSE),CYL
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,TRACK AND FIELD,na
ADMIRALTY SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,WUSHU,na
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ART AND CRAFTS,na
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BADMINTON,na
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BASKETBALL,na
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,na
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,FOOTBALL,N2 CLUSTER FOOTBALL
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,INDIAN DANCE,na
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,MALAY DANCE,na
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,PHOTOGRAPHY,na
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ROBOTICS,na
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,ROPE SKIPPING,na
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,SCOUTS,na
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,OTHERS,STUDENT LEADERSHIP (PEER SUPPORT),na
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,OTHERS,STUDENT LEADERSHIP (PREFECT),na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,BASKETBALL,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,CHINESE ORCHESTRA,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,CHOIR,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,CONCERT BAND,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,GREEN SERVICE CLUB
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,FOOTBALL,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,GIRL GUIDES,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,MODERN DANCE,DANCE ENSEMBLE
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,ROBOTICS,(AI) ROBOTICS CLUB
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,SCOUTS,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,SHOOTING,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,SP-CCA (CANOEING),na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,ST JOHN BRIGADE,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),OTHERS,STUDENT LEADERSHIP (COUNCIL),na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),OTHERS,STUDENT LEADERSHIP (HOUSE),OUTDOOR LEADER
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),OTHERS,STUDENT LEADERSHIP (PEER SUPPORT),na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,TRACK AND FIELD,na
AI TONG SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ART AND CRAFTS,na
AI TONG SCHOOL,PRIMARY,PHYSICAL SPORTS,BADMINTON,na
AI TONG SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,DANCE
AI TONG SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na
AI TONG SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,BILINGUAL DRAMA
AI TONG SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,INNOVATOR
AI TONG SCHOOL,PRIMARY,UNIFORMED GROUPS,GIRL GUIDES (BROWNIES),BROWNIE
AI TONG SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,na
AI TONG SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (COMPUTING),na
AI TONG SCHOOL,PRIMARY,PHYSICAL SPORTS,MODULAR CCA (SPORTS),MODULAR SPORTS
AI TONG SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,PERCUSSION ENSEMBLE,FESTIVAL DRUMS
AI TONG SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ROBOTICS,na
AI TONG SCHOOL,PRIMARY,UNIFORMED GROUPS,SCOUTS,CUB SCOUT
AI TONG SCHOOL,PRIMARY,PHYSICAL SPORTS,TABLE TENNIS,na
AI TONG SCHOOL,PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,na
AI TONG SCHOOL,PRIMARY,PHYSICAL SPORTS,VOLLEYBALL,na
AI TONG SCHOOL,PRIMARY,PHYSICAL SPORTS,WUSHU,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ART AND CRAFTS,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BADMINTON,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BASKETBALL,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,CHEERLEADING,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,CHINESE CULTURE AND LANGUAGE,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,GUITAR ENSEMBLE,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (COMPUTING),na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INTERNATIONAL CHESS,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,PERCUSSION ENSEMBLE,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,RUGBY,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,SCOUTS,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,SOFTBALL,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,SWIMMING,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TABLE TENNIS,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,na
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BASKETBALL,na
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DRUMS,FESTIVE DRUMS
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,DRAMA CLUB
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,STEM INNOVATORS
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,FLOORBALL,na
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,na
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),NEW MEDIA ARTS
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INTERNATIONAL CHESS,CHESS CLUB
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,NETBALL,na
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ROBOTICS,STEM INNOVATORS
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,SCOUTS,na
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,WUSHU,na
ANDERSON PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ANGKLUNG/KULINTANG ENSEMBLE,na
ANDERSON PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ART AND CRAFTS,ART CLUB
ANDERSON PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BADMINTON,na
ANDERSON PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BASKETBALL,na
ANDERSON PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,BOYS' BRIGADE,na
ANDERSON PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,BRASS BAND,na
ANDERSON PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,DANCE ENSEMBLE
ANDERSON PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CULTURAL DANCE,na
ANDERSON PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,na
ANDERSON PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,GAIA CLUB
ANDERSON PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,FOOTBALL,na
ANDERSON PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,GIRLS' BRIGADE,na
ANDERSON PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,GUITAR ENSEMBLE,na
ANDERSON PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,na
ANDERSON PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,INDIAN DANCE,na
ANDERSON PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,LION AND DRAGON DANCE,na
ANDERSON PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,MALAY DANCE,na
ANDERSON PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na
ANDERSON PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ROBOTICS,EUREKA CLUB
ANDERSON PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,TAP DANCE,na
ANDERSON PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,VOLLEYBALL,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,ART AND CRAFTS,ART CLUB
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,BASKETBALL,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,BIOLOGICAL SCIENCE,ANDERSON SCIENCE ACADEMY
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,CHINESE DANCE,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,CHOIR,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,CONCERT BAND,BAND
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,ANDERSON THEATRE CIRCLE
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,ENVIRONMENTAL CLUB
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,FENCING,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,FOOTBALL,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,GIRL GUIDES,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),INFOCOMM CLUB
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,MALAY DANCE,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,NETBALL,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,ROBOTICS,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,SINGAPORE YOUTH FLYING CLUB,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,STRATEGY GAMES,HEALTH LEADERS
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),OTHERS,STUDENT LEADERSHIP (COUNCIL),na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),OTHERS,STUDENT LEADERSHIP (PEER SUPPORT),na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,TABLE TENNIS,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,TAEKWONDO,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,TRACK AND FIELD,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,VOLLEYBALL,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,WATER POLO,na
ANDERSON SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,WUSHU,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,ART AND CRAFTS,VISUAL ARTS CLUB
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,AUDIO VISUAL AID,AVA CLUB
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,BADMINTON,BADMINTON
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,BASKETBALL,BASKETBALL
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,"CHINESE LANGUAGE, DRAMA AND DEBATING",CLDDS
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,CHINESE ORCHESTRA,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,CHOIR,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,COMMUNITY SERVICE,COMMUNITY CHAMPIONS COUNCIL
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,COMMUNITY SERVICE (FIRST AID),RED CROSS YOUTH
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,CONCERT BAND,SYMPHONIC BAND
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,DEBATING AND PUBLIC SPEAKING,DEBATE AND CREATIVE COMMUNICATIONS
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,STAGEWORKS
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,STEM
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,FOOTBALL,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,FRISBEE,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,GUITAR ENSEMBLE,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,HOCKEY,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,"INDIAN LANGUAGE, DRAMA AND DEBATING",TLDDS
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,MODERN DANCE,DANCE SOCIETY
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,NETBALL,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,OUTDOOR ADVENTURE,ODAC
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,PHOTOGRAPHY,PHOTOGRAPHIC SOCIETY
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,SHOOTING,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,STRATEGY GAMES,STRATEGIST SOCIETY
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,OTHERS,STUDENT LEADERSHIP (COUNCIL),STUDENTS' COUNCIL
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TABLE TENNIS,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TAEKWONDO,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TENNIS,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TOUCH RUGBY,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,VOLLEYBALL,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ART AND CRAFTS,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BADMINTON,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BASKETBALL,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,BRASS BAND,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,FOOTBALL,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (COMPUTING),na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,PROJECT CABIN,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,RED CROSS YOUTH,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,SCOUTS,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,OTHERS,STUDENT LEADERSHIP (PREFECT),na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TABLE TENNIS,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,ART AND CRAFTS,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,AUDIO VISUAL AID,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,BADMINTON,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,BASKETBALL,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,BOYS' BRIGADE,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,CHOIR,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,CONCERT BAND,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),PHYSICAL SPORTS,FOOTBALL,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),UNIFORMED GROUPS,GIRL GUIDES,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,MALAY DANCE,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY (S1-S5),VISUAL AND PERFORMING ARTS,MODERN DANCE,na
